,title,audio_file
0,Running,Running-Hit5.mp3
1,爱在每一秒,爱在每一秒-Hit5.mp3
2,怕了你,怕了你-Hit5.mp3
3,斗,斗-Hit5.mp3
4,Shine On Me,Shine_On_Me-Hit5.mp3
5,不夜城,不夜城-Hit5.mp3
6,你现在还好吗,你现在还好吗-Hit5.mp3
7,生日派对,生日派对-Hit5.mp3
8,只想和你在一块,只想和你在一块-Hit5.mp3
9,潮女密咒,潮女密咒-Sara.mp3
10,不得不在乎,不得不在乎-Sara.mp3
11,理想型,理想型-Sara.mp3
12,夏伤,夏伤-Sara.mp3
13,谢谢你,谢谢你-Sara.mp3
14,心晴日记,心晴日记-Sara.mp3
15,心随爱痛,心随爱痛-Sara.mp3
16,意外突袭,意外突袭-Sara.mp3
17,My boy,My_boy-Sara.mp3
18,别再惹我,别再惹我-Sara.mp3
19,Flava(别再惹我)(韩语),Flava_别再惹我__韩语_-Sara.mp3
20,月光下想你,月光下想你-Sara.mp3
21,拜拜爱过,拜拜爱过-Sara.mp3
22,配角,配角-Sara.mp3
23,我的心好冷,我的心好冷-Sara.mp3
24,心为你而碎,心为你而碎-Sara.mp3
25,爱,爱-Sara.mp3
26,命运,命运-Sara.mp3
27,晴海,晴海-Sara.mp3
28,无所谓,无所谓-Sara.mp3
29,原来我爱你,原来我爱你-Sara.mp3
30,子弹穿过玫瑰花,子弹穿过玫瑰花-Sara.mp3
31,梦中的婚礼,梦中的婚礼-Sara.mp3
32,你还爱我吗,你还爱我吗-Sara.mp3
33,杜老师,杜老师-后弦.mp3
34,情书不包邮,情书不包邮-后弦.mp3
35,天然呆,天然呆-后弦.mp3
36,谢谢你的爱,谢谢你的爱-后弦.mp3
37,信条,信条-后弦.mp3
38,把它甩掉,把它甩掉-后弦.mp3
39,白色恋习曲,白色恋习曲-后弦.mp3
40,地球上的爱人,地球上的爱人-后弦.mp3
41,柑香亭,柑香亭-后弦.mp3
42,很有爱,很有爱-后弦.mp3
